match_id,match_outcome,home_team,home_goals,home_xg,home_shots,home_passes,home_pressuredpasses,home_pressureddribbles,home_highpasses,home_groundpasses,home_pass_length,home_crosses,home_dribbles,home_tackles,home_tackles_success,home_interceptions,home_pressures,home_blocks,home_fouls,home_counterattacks,home_passes_att3rd,home_passes_scorebox,home_vertical_passing_dist,home_actions_scorebox,away_team,away_goals,away_xg,away_shots,away_passes,away_pressuredpasses,away_pressureddribbles,away_highpasses,away_groundpasses,away_pass_length,away_crosses,away_dribbles,away_tackles,away_tackles_success,away_interceptions,away_pressures,away_blocks,away_fouls,away_counterattacks,away_passes_att3rd,away_passes_scorebox,away_vertical_passing_dist,away_actions_scorebox,xg_diff,shots_diff,passes_diff,highpasses_diff,groundpasses_diff,pressuredpasses_diff,pass_length_diff,crosses_diff,dribbles_diff,tackles_diff,tackles_success_diff,interceptions_diff,pressures_diff,blocks_diff,fouls_diff,counterattacks_diff,passes_att3rd_diff,passes_scorebox_diff,vertical_passing_dist_diff,actions_scorebox_diff,goals_diff,home_xg_scaled,away_xg_scaled,home_shots_scaled,away_shots_scaled,home_passes_scaled,away_passes_scaled,home_highpasses_scaled,away_highpasses_scaled,home_groundpasses_scaled,away_groundpasses_scaled,home_pressuredpasses_scaled,away_pressuredpasses_scaled,home_pass_length_scaled,away_pass_length_scaled,home_crosses_scaled,away_crosses_scaled,home_dribbles_scaled,away_dribbles_scaled,home_tackles_scaled,away_tackles_scaled,home_tackles_success_scaled,away_tackles_success_scaled,home_interceptions_scaled,away_interceptions_scaled,home_pressures_scaled,away_pressures_scaled,home_blocks_scaled,away_blocks_scaled,home_fouls_scaled,away_fouls_scaled,home_counterattacks_scaled,away_counterattacks_scaled,home_passes_att3rd_scaled,away_passes_att3rd_scaled,home_passes_scorebox_scaled,away_passes_scorebox_scaled,home_vertical_passing_dist_scaled,away_vertical_passing_dist_scaled,home_actions_scorebox_scaled,away_actions_scorebox_scaled,outcome_ordered
3890259,home_win,Bayern Munich,5,2.2385948494,22,797,139,20,90,626,15925.0613413,17,20,13,7,5,92,11,10,30,86,39,5333.2,108,Hamburger SV,0,0.0838352758,5,240,39,6,90,112,6318.2006161,2,6,20,10,9,249,16,14,21,40,9,4322.1,25,2.1547595736000003,17,557,0,514,100,9606.8607252,15,14,-7,-3,-4,-157,-5,-4,9,46,30,1011.0999999999996,83,5,2.2385948494,0.0838352758,22.0,5.0,79.7,24.0,9.0,9.0,62.6,11.2,13.9,3.9,15.9250613413,6.3182006161,17.0,2.0,20.0,6.0,13.0,20.0,7.0,10.0,5.0,9.0,92.0,249.0,1.1,1.6,10.0,14.0,30.0,21.0,86.0,40.0,39.0,9.0,5333.2,4322.1,0.108,0.025,2
3890260,home_win,Bayer Leverkusen,2,3.439320725,25,465,90,32,155,222,10500.1500155,18,32,22,16,10,157,18,14,37,71,38,5789.7,113,Hoffenheim,1,0.523961415,6,331,75,15,119,162,8164.0840404,9,15,31,20,2,210,37,19,29,51,21,5415.9,53,2.91535931,19,134,36,60,15,2336.0659750999994,9,17,-9,-4,8,-53,-19,-5,8,20,17,373.8000000000002,60,1,3.439320725,0.523961415,25.0,6.0,46.5,33.1,15.5,11.9,22.2,16.2,9.0,7.5,10.5001500155,8.1640840404,18.0,9.0,32.0,15.0,22.0,31.0,16.0,20.0,10.0,2.0,157.0,210.0,1.8,3.7,14.0,19.0,37.0,29.0,71.0,51.0,38.0,21.0,5789.7,5415.9,0.113,0.053,2
3890261,home_win,Borussia Dortmund,4,1.973242468,16,731,103,23,95,583,13776.6031197,20,23,15,13,14,201,18,13,8,88,40,5363.0,110,Borussia Mönchengladbach,0,0.242150647,5,483,63,11,84,354,9550.40718,3,11,22,14,14,206,18,17,1,21,7,4297.9,28,1.731091821,11,248,11,229,40,4226.195939699999,17,12,-7,-1,0,-5,0,-4,7,67,33,1065.1000000000004,82,4,1.973242468,0.242150647,16.0,5.0,73.1,48.3,9.5,8.4,58.3,35.4,10.3,6.3,13.7766031197,9.55040718,20.0,3.0,23.0,11.0,15.0,22.0,13.0,14.0,14.0,14.0,201.0,206.0,1.8,1.8,13.0,17.0,8.0,1.0,88.0,21.0,40.0,7.0,5363.0,4297.9,0.11,0.028,2
3890262,draw,Darmstadt 98,2,1.77063047,11,275,54,7,157,74,7759.99274874,10,7,12,3,10,146,18,21,15,70,37,5456.8,85,Hannover 96,2,1.654869524,14,397,90,9,160,192,10289.4612448,7,9,7,5,7,69,21,22,9,50,28,5948.2,54,0.1157609459999999,-3,-122,-3,-118,-36,-2529.4684960600007,3,-2,5,-2,3,77,-3,-1,6,20,9,-491.3999999999997,31,0,1.77063047,1.654869524,11.0,14.0,27.5,39.7,15.7,16.0,7.4,19.2,5.4,9.0,7.75999274874,10.2894612448,10.0,7.0,7.0,9.0,12.0,7.0,3.0,5.0,10.0,7.0,146.0,69.0,1.8,2.1,21.0,22.0,15.0,9.0,70.0,50.0,37.0,28.0,5456.8,5948.2,0.085,0.054,1
3890263,away_win,FSV Mainz 05,0,0.615812916,11,500,86,6,153,282,12146.4696553,14,6,17,10,8,126,13,21,10,70,29,6781.0,53,Ingolstadt,1,0.7430165566,14,406,85,14,178,143,10186.0799896,10,14,13,6,12,154,17,15,12,91,41,6966.1,83,-0.1272036406,-3,94,-25,139,1,1960.389665699999,4,-8,4,4,-4,-28,-4,6,-2,-21,-12,-185.1000000000004,-30,-1,0.615812916,0.7430165566,11.0,14.0,50.0,40.6,15.3,17.8,28.2,14.3,8.6,8.5,12.1464696553,10.1860799896,14.0,10.0,6.0,14.0,17.0,13.0,10.0,6.0,8.0,12.0,126.0,154.0,1.3,1.7,21.0,15.0,10.0,12.0,70.0,91.0,29.0,41.0,6781.0,6966.1,0.053,0.083,0
3890264,away_win,Werder Bremen,0,0.9867010097,15,464,103,13,102,324,10820.2181217,15,13,21,15,7,133,12,10,19,74,47,5220.6,93,Schalke 04,3,1.28252846,16,372,70,17,118,203,9827.0639382,9,17,16,8,7,187,17,21,12,43,25,5402.5,46,-0.2958274503,-1,92,-16,121,33,993.1541834999988,6,-4,5,7,0,-54,-5,-11,7,31,22,-181.89999999999964,47,-3,0.9867010097,1.28252846,15.0,16.0,46.4,37.2,10.2,11.8,32.4,20.3,10.3,7.0,10.8202181217,9.8270639382,15.0,9.0,13.0,17.0,21.0,16.0,15.0,8.0,7.0,7.0,133.0,187.0,1.2,1.7,10.0,21.0,19.0,12.0,74.0,43.0,47.0,25.0,5220.6,5402.5,0.093,0.046,0
3890265,away_win,Augsburg,0,1.806689805,20,440,72,6,93,291,10322.478845,22,6,10,7,10,159,14,22,40,53,36,4639.0,68,Hertha Berlin,1,1.301326826,11,460,91,14,87,333,10269.5903835,9,14,7,5,7,136,23,22,8,35,15,4858.8,39,0.505362979,9,-20,6,-42,-19,52.88846149999881,13,-8,3,2,3,23,-9,0,32,18,21,-219.80000000000015,29,-1,1.806689805,1.301326826,20.0,11.0,44.0,46.0,9.3,8.7,29.1,33.3,7.2,9.1,10.322478845,10.2695903835,22.0,9.0,6.0,14.0,10.0,7.0,7.0,5.0,10.0,7.0,159.0,136.0,1.4,2.3,22.0,22.0,40.0,8.0,53.0,35.0,36.0,15.0,4639.0,4858.8,0.068,0.039,0
3890266,away_win,VfB Stuttgart,1,2.38007908,28,454,71,12,142,242,10236.09827135,29,12,15,10,6,164,13,16,16,68,58,5261.3,111,FC Köln,3,2.219708284,8,351,113,13,131,166,9478.3326477,9,13,15,9,13,129,26,10,13,52,24,5949.2,44,0.1603707959999996,20,103,11,76,-42,757.7656236499988,20,-1,0,1,-7,35,-13,6,3,16,34,-687.8999999999996,67,-2,2.38007908,2.219708284,28.0,8.0,45.4,35.1,14.2,13.1,24.2,16.6,7.1,11.3,10.23609827135,9.4783326477,29.0,9.0,12.0,13.0,15.0,15.0,10.0,9.0,6.0,13.0,164.0,129.0,1.3,2.6,16.0,10.0,16.0,13.0,68.0,52.0,58.0,24.0,5261.3,5949.2,0.111,0.044,0
3890267,home_win,Wolfsburg,2,0.91179878,8,631,100,15,129,445,15118.5897556,16,15,20,13,9,162,16,13,18,64,36,6386.4,76,Eintracht Frankfurt,1,0.964066049,13,396,74,15,90,247,8856.0302665,10,15,14,8,9,184,18,19,16,44,26,5041.6,54,-0.052267269,-5,235,39,198,26,6262.5594891,6,0,6,5,0,-22,-2,-6,2,20,10,1344.7999999999993,22,1,0.91179878,0.964066049,8.0,13.0,63.1,39.6,12.9,9.0,44.5,24.7,10.0,7.4,15.1185897556,8.8560302665,16.0,10.0,15.0,15.0,20.0,14.0,13.0,8.0,9.0,9.0,162.0,184.0,1.6,1.8,13.0,19.0,18.0,16.0,64.0,44.0,36.0,26.0,6386.4,5041.6,0.076,0.054,2
3890268,draw,Hertha Berlin,1,0.8749658309999999,10,502,87,22,143,276,11004.4924522,18,22,14,8,9,177,16,11,0,44,35,6005.5,77,Werder Bremen,1,0.82974801,9,438,72,8,126,262,10616.3946569,10,8,24,13,15,175,17,16,0,65,25,5500.0,83,0.0452178209999999,1,64,17,14,15,388.09779530000014,8,14,-10,-5,-6,2,-1,-5,0,-21,10,505.5,-6,0,0.8749658309999999,0.82974801,10.0,9.0,50.2,43.8,14.3,12.6,27.6,26.2,8.7,7.2,11.0044924522,10.6163946569,18.0,10.0,22.0,8.0,14.0,24.0,8.0,13.0,9.0,15.0,177.0,175.0,1.6,1.7,11.0,16.0,0.0,0.0,44.0,65.0,35.0,25.0,6005.5,5500.0,0.077,0.083,1
