,team,xg_diff,shots_diff,passes_diff,highpasses_diff,groundpasses_diff,pressuredpasses_diff,pass_length_diff,crosses_diff,dribbles_diff,tackles_diff,tackles_success_diff,interceptions_diff,pressures_diff,blocks_diff,fouls_diff,counterattacks_diff,passes_att3rd_diff,passes_scorebox_diff,vertical_passing_dist_diff,actions_scorebox_diff,goals_diff,points,rank,rank_category,outcome_ordered
0,Bayern Munich,50.7632426137,368,15143,-10,14214,1795,250403.15946821,357,237,-215,-74,-156,-3235,-213,-91,141,1159,640,35193.3,2062,63,88,1,CL,3
1,Borussia Dortmund,46.3371336069,254,10020,-433,10028,1030,161590.12657857,161,153,-78,-31,-141,-1612,-120,-123,-58,774,477,27347.6,1421,48,78,2,CL,3
2,Bayer Leverkusen,9.2742049073,120,1724,-118,1822,194,8173.430394609998,71,9,-86,-51,41,-332,-20,-12,134,223,218,-2888.799999999997,604,16,60,3,CL,3
3,Borussia Mönchengladbach,1.9885938727999997,14,4087,-747,4683,309,55384.17574018,-103,62,-5,-11,-108,-923,-16,-33,64,-62,-99,2748.0999999999976,-84,17,55,4,CL,3
4,Schalke 04,1.5178845118,-5,979,110,691,311,20316.24858456,-23,179,-101,-76,18,-880,-20,67,-211,-75,-103,3174.699999999999,-58,2,52,5,EL,2
5,Hertha Berlin,-6.195876321600001,-100,-407,7,-447,137,10204.826978320008,-35,100,-50,1,-33,-268,-43,-59,65,-466,-257,8120.099999999999,-606,0,50,6,EL,2
6,FSV Mainz 05,-3.7232379225,-84,-2968,-237,-2509,-624,-51569.21047189,-93,-35,-55,-28,17,470,68,37,-12,-316,-172,-11049.4,-286,4,50,7,EL,2
7,Wolfsburg,7.5022589253,108,4998,391,4340,927,105002.35899821,161,100,-50,-16,-46,-1440,-77,-6,-225,149,149,17080.699999999997,32,-2,45,8,middle,1
8,FC Köln,-0.3122047804000001,-81,-3487,95,-3495,-231,-40716.00370128,-73,-68,147,59,40,1193,38,-34,97,-336,-87,-3124.4,-432,-4,43,9,middle,1
9,Hamburger SV,-8.8495791368,-92,-1131,-65,-1065,-350,-13710.372722959994,-97,-71,96,75,37,776,54,89,-37,-179,-281,2663.0999999999995,-612,-6,41,10,middle,1
10,Ingolstadt,-1.8960925478999997,65,-2886,154,-2658,-552,-44047.43956701,-46,-79,77,20,59,1251,57,-66,14,518,178,1347.4000000000017,227,-9,40,11,middle,1
11,Augsburg,-12.6489582853,-102,-2508,193,-2522,-159,-14202.450705230003,-46,-17,30,11,30,401,64,67,7,-127,-226,841.3999999999987,-598,-10,38,12,middle,1
12,Werder Bremen,2.1495688606999988,15,-3864,287,-3989,-140,-61529.33210376,-20,-14,46,27,124,53,14,-5,-47,-177,121,-15529.999999999996,401,-15,38,13,middle,1
13,Darmstadt 98,-14.2216609289,-154,-9742,667,-9723,-1089,-154502.83753223,-81,-312,243,122,114,2475,117,38,53,-69,-157,-16952.5,-629,-15,38,14,middle,1
14,Hoffenheim,-14.9432118553,-163,-2784,-206,-2209,-271,-52531.16073237,-200,-22,-35,-62,-44,58,127,-21,-13,-393,-356,-8655.699999999997,-830,-15,37,15,middle,1
15,Eintracht Frankfurt,-19.7033703074,-67,-1957,235,-2170,-242,-45540.25297266,25,-38,-11,46,39,443,-62,22,-61,-230,-2,-6802.999999999998,-39,-18,36,16,relegation,0
16,VfB Stuttgart,-7.071351813,29,-1856,-140,-1866,-1029,-46786.34171249,158,-97,34,4,-23,1432,24,68,60,-156,151,-17123.800000000003,40,-25,33,17,relegation,0
17,Hannover 96,-29.9673433994,-125,-3361,-183,-3125,-16,-85938.92452078,-116,-87,13,-16,32,138,8,62,29,-237,-194,-16388.8,-613,-31,25,18,relegation,0
