indicator,level,coefficients,confint_lower,confint_upper
xg,season_level,1.64,1.195,2.085
xg,match_level,0.873,0.559,1.186
xg,scoreline_level,0.308,-0.002,0.618
shots,season_level,0.834,0.561,1.107
shots,match_level,0.14,-0.095,0.374
shots,scoreline_level,0.475,0.167,0.784
passes,season_level,0.847,0.564,1.13
passes,match_level,0.18,-0.056,0.416
passes,scoreline_level,0.371,0.122,0.62
highpasses,season_level,-0.257,-0.479,-0.034
highpasses,match_level,0.042,-0.186,0.269
highpasses,scoreline_level,0.309,0.07,0.549
groundpasses,season_level,0.851,0.569,1.132
groundpasses,match_level,0.2,-0.037,0.437
groundpasses,scoreline_level,0.342,0.096,0.588
pressuredpasses,season_level,0.858,0.571,1.145
pressuredpasses,match_level,-0.016,-0.245,0.213
pressuredpasses,scoreline_level,0.135,-0.108,0.377
pass_length,season_level,0.785,0.512,1.058
pass_length,match_level,0.178,-0.058,0.415
pass_length,scoreline_level,0.303,0.056,0.549
crosses,season_level,0.484,0.249,0.719
crosses,match_level,-0.043,-0.276,0.19
crosses,scoreline_level,0.484,0.204,0.764
dribbles,season_level,0.379,0.149,0.609
dribbles,match_level,0.081,-0.149,0.312
dribbles,scoreline_level,0.131,-0.109,0.372
tackles,season_level,-0.226,-0.447,-0.004
tackles,match_level,-0.086,-0.318,0.145
tackles,scoreline_level,-0.006,-0.245,0.233
tackles_success,season_level,-0.208,-0.428,0.012
tackles_success,match_level,-0.079,-0.31,0.152
tackles_success,scoreline_level,0.097,-0.169,0.364
interceptions,season_level,-0.599,-0.852,-0.346
interceptions,match_level,0.229,-0.008,0.465
interceptions,scoreline_level,-0.112,-0.361,0.136
pressures,season_level,-0.744,-1.011,-0.478
pressures,match_level,-0.051,-0.281,0.178
pressures,scoreline_level,-0.216,-0.466,0.033
blocks,season_level,-0.311,-0.536,-0.087
blocks,match_level,0.019,-0.209,0.248
blocks,scoreline_level,-0.276,-0.53,-0.022
fouls,season_level,-0.518,-0.759,-0.276
fouls,match_level,0.029,-0.201,0.259
fouls,scoreline_level,-0.274,-0.53,-0.019
counterattacks,season_level,0.423,0.198,0.648
counterattacks,match_level,0.23,-0.005,0.466
counterattacks,scoreline_level,-0.039,-0.257,0.178
passes_att3rd,season_level,0.802,0.519,1.085
passes_att3rd,match_level,0.15,-0.084,0.384
passes_att3rd,scoreline_level,0.461,0.191,0.731
passes_scorebox,season_level,0.677,0.424,0.931
passes_scorebox,match_level,-0.137,-0.367,0.094
passes_scorebox,scoreline_level,0.505,0.229,0.78
vertical_passing_dist,season_level,0.639,0.387,0.892
vertical_passing_dist,match_level,0.312,0.07,0.553
vertical_passing_dist,scoreline_level,0.259,0.002,0.517
actions_scorebox,season_level,0.902,0.617,1.187
actions_scorebox,match_level,0.083,-0.149,0.315
actions_scorebox,scoreline_level,0.777,0.421,1.133
